,Domain,Supergroup,Phylum,Worden_Taxonomy,Salmaso_Phyto,Salmaso_Taxonomy,Class,Order,Family,Genus,Species,ASV,Root,,Large_Scale,Worden_Phyto,Worden_Taxonomy2,All_Taxonomy,Diatoms_Curated,Diatoms_Curated_Top_10,Root_confidence,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
548fc8ef7754b44fa22b54a4d509cb28,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,CONThreeP,CONThreeP_X,Urotrichidae,Urotricha,Urotricha_sp.,548fc8ef7754b44fa22b54a4d509cb28,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,100,100,100,100,100,100,100,100,100
886320aa1c8f36a6bbc57cb16bdcdf7b,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,CONThreeP,CONThreeP_X,Urotrichidae,Urotricha,Urotricha_sp.,886320aa1c8f36a6bbc57cb16bdcdf7b,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,86.9,86.9,86.9,86.9,71.6,71.6,71.6,71.6,71.6
c724863898ab7a7804cc3cee92e0db5f,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,CONThreeP,CONThreeP_X,CONThreeP_XX,Askenasia,Askenasia_sp.,c724863898ab7a7804cc3cee92e0db5f,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,76.9,76.9,73.1,73.1,64.3,64.3,64.3,64.3,64.3
f6a6a1e45e7472714f567b6164b9d80a,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Cyclotrichium_like_organism,Cyclotrichium_like_organism_X,Cyclotrichium_like_organism_XX,Cyclotrichium,Cyclotrichium_cyclokaryon,f6a6a1e45e7472714f567b6164b9d80a,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,86.6,86.6,86.6,86.6,75,75,75,75,75
061e5b9524e7d6b41033c9d2af84168e,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Stentoridae,Stentor,unclassified_Stentor,061e5b9524e7d6b41033c9d2af84168e,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,91.3,91.3,91.3,91.3,91.3,91.3,79.7,79.7,79.7
38ac3f21d5cc9a5b2d3bd81a6ea7d706,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Spirostomidae,Spirostomum,unclassified_Spirostomum,38ac3f21d5cc9a5b2d3bd81a6ea7d706,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,98.1,98.1,98.1,98.1,98.1,98.1,92.1,92.1,92.1
39f7769d5a5c51a95828c4a633bad707,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Folliculinidae,unclassified_Folliculinidae,,39f7769d5a5c51a95828c4a633bad707,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,79.4,79.4,77.9,76.3,72.2,72.2,61,61,
5539be31e573d714aef3cff387116f71,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Stentoridae,Stentor,unclassified_Stentor,5539be31e573d714aef3cff387116f71,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,100,100,100,100,100,100,96.2,96.2,96.2
606a482e45a31cd729a4d0cbbc7030b4,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Folliculinidae,unclassified_Folliculinidae,,606a482e45a31cd729a4d0cbbc7030b4,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,84.7,84.7,83.6,83.6,83.6,83.6,64.3,64.3,
685ef144cab589a10b490d4fa36e6df8,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Blepharismidae,Blepharisma,unclassified_Blepharisma,685ef144cab589a10b490d4fa36e6df8,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,98.7,98.7,98.7,71,69.9,69.9,69.9,69.9,69.9
70558d9766c157ee9d043bfb75c6957e,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,unclassified_Heterotrichea_X,,,70558d9766c157ee9d043bfb75c6957e,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,79.9,79.9,77.5,74.3,71.4,71.4,71.4,,
90f66af6f30ce59315d8e3837aeff930,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Folliculinidae,Folliculinidae_X,Folliculinidae_X_sp.,90f66af6f30ce59315d8e3837aeff930,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,93,93,93,93,93,93,89.4,73,73
97f5b741ffecf298acfce8357c4fd88a,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Peritromidae,Peritromus,unclassified_Peritromus,97f5b741ffecf298acfce8357c4fd88a,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,80,80,61.8,61.8,60.3,60.3,60.3,60.3,60.3
dd05c649527bc44668f431f520020c8f,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Peritromidae,Peritromus,Peritromus_sp.,dd05c649527bc44668f431f520020c8f,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,100,100,100,100,100,100,100,100,82.8
f1dc3234d36599e553e7b35147ef1ba4,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Heterotrichea,Heterotrichea_X,Maristentoridae,Maristentor,Maristentor_dinoferus,f1dc3234d36599e553e7b35147ef1ba4,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,70.6,68,62.6,62.6,60.2,60.2,60.2,60.2,60.2
bb5cbfb820f441e47f94feafa8c595d9,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Karyorelictea,Karyorelictea_X,Loxodidae,unclassified_Loxodidae,,bb5cbfb820f441e47f94feafa8c595d9,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,89,89,89,89,84.4,84.4,82.6,82.6,
00a535d2b60a834cac7ec5c71e00a644,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Haptoria_5,Pleurostomatida,unclassified_Pleurostomatida,,00a535d2b60a834cac7ec5c71e00a644,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,86.2,86.2,85,85,85,83.9,83.9,83.9,
0bdc88c4d8bf3ae42d524151159884fa,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,unclassified_Litostomatea,,,,0bdc88c4d8bf3ae42d524151159884fa,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,76.2,76.2,72.4,69.7,66.8,66.8,,,
0c3dbe5da4ef401505b22153026a6a1d,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Litostomatea_X,Litostomatea_XX,unclassified_Litostomatea_XX,,0c3dbe5da4ef401505b22153026a6a1d,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,91,91,88.5,87.2,85.5,67.6,67.6,67.6,
0ed552ee0e677a345180bd673694a378,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Rhynchostomatia,Dileptidae,Dileptidae_X,Dileptidae_X_sp.,0ed552ee0e677a345180bd673694a378,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,92.2,92.2,92.2,92.2,92.2,81.6,81.6,77.9,77.9
13f4ac78d4912f657d4d6c066f2f0e72,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Haptoria_5,Pleurostomatida,unclassified_Pleurostomatida,,13f4ac78d4912f657d4d6c066f2f0e72,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,75.4,75.4,70.6,68.9,68.9,60.8,60.8,60.8,
17765fb19f75d8f6935fd90293d1be57,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,unclassified_Litostomatea,,,,17765fb19f75d8f6935fd90293d1be57,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,69.7,69.7,66.3,66.3,61.3,61.3,,,
221027d993274f9790895a411191e63c,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,unclassified_Litostomatea,,,,221027d993274f9790895a411191e63c,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,86.6,86.6,83,81.7,81.7,81.7,,,
2c3e451d5d0956fec8e98cad59b49ab0,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Haptoria_5,Pleurostomatida,Epiphyllum,Epiphyllum_shenzhenense,2c3e451d5d0956fec8e98cad59b49ab0,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,86.2,86.2,84.9,84.9,83.5,83.5,83.5,61.5,61.5
2d2ed32750f369067d9080d5b53a5442,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Litostomatea,Haptoria_6,Lacrymariidae,unclassified_Lacrymariidae,,2d2ed32750f369067d9080d5b53a5442,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,81.8,81.8,81.8,81.8,80.5,71.1,71.1,71.1,
